original,timestamp,statuscode
"http://www.inthemix.com.au:80/profile/angy/","20040811235433","200"
"http://www.inthemix.com.au/profile/angy/application/dropdown/arrow.gif","20070923025012","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Adelaide;url=/gallery/?city=5;;status=Adelaide;separatorsize=1","20070923025200","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Adelaide;url=/whatson/?city=5;;status=Adelaide;separatorsize=1","20070923024456","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Brisbane;url=/gallery/?city=4;;status=Brisbane;separatorsize=1","20070923025416","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Brisbane;url=/whatson/?city=4;;status=Brisbane;separatorsize=1","20070923024846","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Canberra;url=/gallery/?city=3;;status=Canberra;separatorsize=1","20070923024558","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Canberra;url=/whatson/?city=3;;status=Canberra;separatorsize=1","20070923025133","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;DVD;url=/life/film/dvd/;;separatorsize=1","20070923024704","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Features;url=/features/;separatorsize=1","20070923024801","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Film;url=/life/film/cinema/;;separatorsize=1","20070923024641","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Game;url=/life/game/;;separatorsize=1","20070923025103","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Gear;url=/life/gear/;;separatorsize=1","20070923025350","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Home;url=/;separatorsize=0","20070923025242","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Home;url=/life/;;separatorsize=1","20070923024537","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Ibiza;url=/ibiza;separatorsize=1","20070923024622","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;ITMShop;url=/shop/;;separatorsize=1","20070923024907","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Melbourne;url=/gallery/?city=2;;status=Melbourne;separatorsize=1","20070923024827","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Melbourne;url=/whatson/?city=2;;status=Melbourne;separatorsize=1","20070923024316","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;News;showmenu=news;url=/news/;separatorsize=1","20070923024516","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Perth;url=/gallery/?city=6;;status=Perth;separatorsize=1","20070923024736","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Perth;url=/whatson/?city=6;;status=Perth;separatorsize=1","20070923025321","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Sydney;url=/gallery/?city=1;;status=Sydney;separatorsize=1","20070923024427","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Sydney;url=/whatson/?city=1;;status=Sydney;separatorsize=1","20070923025040","200"
"http://www.inthemix.com.au/profile/angy/application/text=&nbsp;Tickets;url=/shop/customer/home.php?cat=249;;separatorsize=1","20070923024405","200"
"http://www.inthemix.com.au/profile/angy/application/text=Australia;url=/news/aust/","20070923025301","200"
